_time,_value,_measurement,_field
2022-07-12 10:00:18.240,96.27,mqtt_consumer,Kettle
2022-07-12 11:00:18.240,50.54,mqtt_consumer,Kettle
2022-07-12 12:00:18.240,99.59,mqtt_consumer,Kettle
2022-07-12 13:00:18.240,92.83,mqtt_consumer,Kettle
2022-07-12 14:00:18.240,76.01,mqtt_consumer,Kettle
2022-07-12 15:00:18.240,28.23,mqtt_consumer,Kettle
2022-07-12 16:00:18.240,37.46,mqtt_consumer,Kettle
2022-07-12 17:00:18.240,6.93,mqtt_consumer,Kettle
2022-07-12 18:00:18.240,4.21,mqtt_consumer,Kettle
2022-07-12 19:00:18.240,4.37,mqtt_consumer,Kettle
2022-07-12 20:00:18.240,37.53,mqtt_consumer,Kettle
2022-07-12 21:00:18.240,17.18,mqtt_consumer,Kettle
2022-07-12 22:00:18.240,4.74,mqtt_consumer,Kettle
2022-07-12 23:00:18.240,0.14,mqtt_consumer,Kettle
2022-07-13 00:00:18.240,21.74,mqtt_consumer,Kettle
2022-07-13 01:00:18.240,93.16,mqtt_consumer,Kettle
2022-07-13 02:00:18.240,75.89,mqtt_consumer,Kettle
2022-07-13 03:00:18.240,3.41,mqtt_consumer,Kettle
2022-07-13 04:00:18.240,89.43,mqtt_consumer,Kettle
2022-07-13 05:00:18.240,52.86,mqtt_consumer,Kettle
2022-07-13 06:00:18.240,1.91,mqtt_consumer,Kettle
2022-07-13 07:00:18.240,21.92,mqtt_consumer,Kettle
2022-07-13 08:00:18.240,74.22,mqtt_consumer,Kettle
2022-07-13 09:00:18.240,92.67,mqtt_consumer,Kettle
2022-07-13 10:00:18.240,8.76,mqtt_consumer,Kettle
2022-07-13 11:00:18.240,87.71,mqtt_consumer,Kettle
2022-07-13 12:00:18.240,32.46,mqtt_consumer,Kettle
2022-07-13 13:00:18.240,37.13,mqtt_consumer,Kettle
2022-07-13 14:00:18.240,81.07,mqtt_consumer,Kettle
2022-07-13 15:00:18.240,67.08,mqtt_consumer,Kettle
2022-07-13 16:00:18.240,19.5,mqtt_consumer,Kettle
2022-07-13 17:00:18.240,26.56,mqtt_consumer,Kettle
2022-07-13 18:00:18.240,5.25,mqtt_consumer,Kettle
2022-07-13 19:00:18.240,57.7,mqtt_consumer,Kettle
2022-07-13 20:00:18.240,78.56,mqtt_consumer,Kettle
2022-07-13 21:00:18.240,37.03,mqtt_consumer,Kettle
2022-07-13 22:00:18.240,90.24,mqtt_consumer,Kettle
2022-07-13 23:00:18.240,16.94,mqtt_consumer,Kettle
2022-07-14 00:00:18.240,49.9,mqtt_consumer,Kettle
2022-07-14 01:00:18.240,94.76,mqtt_consumer,Kettle
2022-07-14 02:00:18.240,60.64,mqtt_consumer,Kettle
2022-07-14 03:00:18.240,15.93,mqtt_consumer,Kettle
2022-07-14 04:00:18.240,57.67,mqtt_consumer,Kettle
2022-07-14 05:00:18.240,50.41,mqtt_consumer,Kettle
2022-07-14 06:00:18.240,12.23,mqtt_consumer,Kettle
2022-07-14 07:00:18.240,24.62,mqtt_consumer,Kettle
2022-07-14 08:00:18.240,5.06,mqtt_consumer,Kettle
2022-07-14 09:00:18.240,90.59,mqtt_consumer,Kettle
2022-07-14 10:00:18.240,34.02,mqtt_consumer,Kettle
2022-07-14 11:00:18.240,48.75,mqtt_consumer,Kettle
2022-07-14 12:00:18.240,29.7,mqtt_consumer,Kettle
2022-07-14 13:00:18.240,41.21,mqtt_consumer,Kettle
2022-07-14 14:00:18.240,31.54,mqtt_consumer,Kettle
2022-07-14 15:00:18.240,86.92,mqtt_consumer,Kettle
2022-07-14 16:00:18.240,22.09,mqtt_consumer,Kettle
2022-07-14 17:00:18.240,82.4,mqtt_consumer,Kettle
