sensorname,timeline,humidity,lat,lng
New York,2022-06-22 18:53:06.387,34.4576,40.6943,-73.9249
Los Angeles,2022-06-22 18:52:52.860,10.4544,34.1141,-118.4068
Chicago,2022-06-22 18:52:32.863,14.6432,41.8375,-87.6866
Miami,2022-06-22 18:52:47.520,15.824,25.7840,-80.2101
Dallas,2022-06-22 18:52:51.810,4.8704,32.7935,-96.7667
Allentown,2022-06-22 18:52:33.413,8.5248,40.5961,-75.4756
Concord,2022-06-22 18:52:51.277,5.2256,37.9722,-122.0016
Cape Coral,2022-06-22 18:52:47.500,2.208,26.6443,-81.9957
Houston,2022-06-22 18:52:53.297,4.4608,29.7860,-95.3885
Philadelphia,2022-06-22 18:52:33.043,14.5408,40.0077,-75.1339
Atlanta,2022-06-22 18:52:46.030,4.5408,33.7628,-84.4220
Washington,2022-06-22 18:52:38.430,14.1888,38.9047,-77.0163
Boston,2022-06-22 18:52:32.827,17.616,42.3188,-71.0852
Phoenix,2022-06-22 18:52:52.937,3.9552,33.5722,-112.0892
Detroit,2022-06-22 18:52:36.340,5.9872,42.3834,-83.1024
San Francisco,2022-06-22 18:52:53.913,23.0368,37.7558,-122.4449
Seattle,2022-06-22 18:52:53.487,10.9248,47.6211,-122.3244
Durham,2022-06-22 18:52:45.733,3.024,35.9792,-78.9022
Palm Coast,2022-06-22 18:52:47.433,1.1424,29.5389,-81.2457
San Diego,2022-06-22 18:52:54.360,5.36,32.8313,-117.1222
Minneapolis,2022-06-22 18:52:40.200,9.712,44.9635,-93.2678
Tampa,2022-06-22 18:52:48.353,4.288,27.9945,-82.4447
Brooklyn,2022-06-22 18:53:06.400,48.64,40.6501,-73.9496
Denver,2022-06-22 18:52:51.160,5.776,39.7620,-104.8758
Queens,2022-06-22 18:53:06.373,27.2096,40.7498,-73.7976
Baltimore,2022-06-22 18:52:33.963,9.1904,39.3051,-76.6144
Las Vegas,2022-06-22 18:52:52.733,5.6128,36.2333,-115.2654
St. Louis,2022-06-22 18:52:34.020,6.096,38.6359,-90.2451
Riverside,2022-06-22 18:52:52.920,4.9792,33.9381,-117.3949
Portland,2022-06-22 18:52:52.310,6.0192,45.5371,-122.6500
San Antonio,2022-06-22 18:52:54.590,3.7856,29.4632,-98.5238
Sacramento,2022-06-22 18:52:53.860,6.3072,38.5677,-121.4685
San Juan,2022-06-20 08:33:07.947,9.5424,18.3985,-66.0610
San Jose,2022-06-22 18:52:53.940,7.1328,37.3012,-121.8480
Orlando,2022-06-22 18:52:47.470,3.1808,28.4773,-81.3370
Cleveland,2022-06-22 18:52:32.967,6.0896,41.4764,-81.6805
Pittsburgh,2022-06-22 18:52:33.623,6.72,40.4397,-79.9763
Manhattan,2022-06-22 18:53:06.370,91.6896,40.7834,-73.9662
Austin,2022-06-22 18:52:51.960,3.728,30.3005,-97.7522
Cincinnati,2022-06-22 18:52:36.183,4.8032,39.1413,-84.5060
Indianapolis,2022-06-22 18:53:02.453,2.9696,39.7771,-86.1458
Kansas City,2022-06-22 18:52:40.907,1.9264,39.1238,-94.5541
Columbus,2022-06-22 18:52:36.130,4.992,39.9862,-82.9855
Charlotte,2022-06-22 18:52:46.927,3.5008,35.2083,-80.8303
Virginia Beach,2022-06-22 18:52:36.240,2.2752,36.7335,-76.0435
Bronx,2022-06-22 18:53:06.370,42.7392,40.8501,-73.8662
Milwaukee,2022-06-22 18:52:35.417,7.6128,43.0642,-87.9675
Providence,2022-06-22 18:52:35.660,12.0448,41.8230,-71.4187
Jacksonville,2022-06-22 18:52:47.400,1.4912,30.3322,-81.6749
Salt Lake City,2022-06-22 18:52:53.753,2.24,40.7776,-111.9311
Nashville,2022-06-22 18:53:08.527,1.7312,36.1715,-86.7842
Raleigh,2022-06-22 18:52:46.867,3.9424,35.8324,-78.6429
Memphis,2022-06-22 18:52:47.827,2.7072,35.1087,-89.9663
Richmond,2022-06-22 18:52:34.067,4.7232,37.5295,-77.4756
Louisville,2022-06-22 18:53:03.187,2.8992,38.1663,-85.6485
New Orleans,2022-06-22 18:52:34.210,2.8512,30.0687,-89.9288
Bridgeport,2022-06-22 18:52:37.207,11.152,41.1918,-73.1954
Scranton,2022-06-22 18:52:35.760,3.7568,41.4044,-75.6649
Aurora,2022-06-22 18:52:51.163,2.9248,39.7083,-104.7237
Oklahoma City,2022-06-22 18:52:52.797,1.3216,35.4676,-97.5136
Buffalo,2022-06-22 18:52:32.757,7.8272,42.9018,-78.8487
Hartford,2022-06-22 18:52:37.143,8.7104,41.7661,-72.6834
Fort Worth,2022-06-22 18:52:53.067,3.1744,32.7817,-97.3474
Tucson,2022-06-22 18:52:54.470,2.7936,32.1541,-110.8787
Honolulu,2022-06-22 18:52:45.677,7.0848,21.3294,-157.8460
McAllen,2022-06-22 18:52:53.393,2.8256,26.2252,-98.2467
El Paso,2022-06-22 18:52:55.623,3.248,31.8476,-106.4300
Omaha,2022-06-22 18:52:41.687,4.1824,41.2627,-96.0529
Albuquerque,2022-06-22 18:52:51.547,3.696,35.1054,-106.6465
Birmingham,2022-06-22 18:52:38.877,1.7696,33.5279,-86.7971
Sarasota,2022-06-22 18:52:48.357,4.8576,27.3387,-82.5432
Dayton,2022-06-22 18:53:06.620,3.1072,39.7805,-84.2003
Rochester,2022-06-22 18:52:32.743,7.1264,43.1680,-77.6162
Fresno,2022-06-22 18:52:52.690,5.6416,36.7830,-119.7939
Tulsa,2022-06-22 18:52:54.043,2.5152,36.1283,-95.9042
Charleston,2022-06-22 18:52:47.533,1.4752,32.8168,-79.9687
Colorado Springs,2022-06-22 18:52:51.197,2.9824,38.8674,-104.7605
Springfield,2022-06-22 18:52:32.837,5.9552,42.1155,-72.5395
Grand Rapids,2022-06-22 18:52:35.297,5.5008,42.9619,-85.6562
Ogden,2022-06-22 18:52:52.507,3.9072,41.2279,-111.9682
Columbia,2022-06-22 18:52:47.100,1.2096,34.0378,-80.9036
Baton Rouge,2022-06-22 18:52:46.310,3.1776,30.4420,-91.1311
Knoxville,2022-06-22 18:52:46.857,2.3456,35.9692,-83.9496
Mission Viejo,2022-06-22 18:52:52.950,6.6912,33.6096,-117.6551
Albany,2022-06-22 18:52:32.787,5.5904,42.6664,-73.7987
Akron,2022-06-22 18:52:33.160,3.936,41.0798,-81.5219
New Haven,2022-06-22 18:52:37.220,8.6176,41.3113,-72.9246
Provo,2022-06-22 18:52:52.543,3.4624,40.2457,-111.6457
Bakersfield,2022-06-22 18:52:51.517,3.1328,35.3529,-119.0359
Murrieta,2022-06-22 18:52:52.923,4.192,33.5719,-117.1909
Des Moines,2022-06-22 18:52:39.440,3.0176,41.5725,-93.6105
Worcester,2022-06-22 18:52:32.803,6.1216,42.2705,-71.8079
Mesa,2022-06-22 18:52:52.937,4.5312,33.4015,-111.7178
Toledo,2022-06-22 18:52:32.943,4.2208,41.6638,-83.5827
Palm Bay,2022-06-22 18:52:47.463,1.6256,27.9631,-80.6593
Staten Island,2022-06-22 18:53:06.403,10.5152,40.5834,-74.1496
Wichita,2022-06-22 18:52:34.057,2.976,37.6895,-97.3443
Harrisburg,2022-06-22 18:52:33.657,7.4944,40.2752,-76.8843
Long Beach,2022-06-22 18:52:52.860,11.2576,33.7977,-118.1670
Little Rock,2022-06-22 18:52:47.880,2.0384,34.7256,-92.3577
Madison,2022-06-22 18:52:35.287,4.0096,43.0822,-89.3930
Greenville,2022-06-22 18:52:45.870,2.896,34.8354,-82.3646
Reno,2022-06-22 18:52:52.490,2.848,39.5497,-119.8483
Port St. Lucie,2022-06-22 18:52:47.490,2.0288,27.2796,-80.3884
Lancaster,2022-06-22 18:52:36.087,10.1408,40.0420,-76.3012
Spokane,2022-06-22 18:52:53.463,3.936,47.6671,-117.4330
Denton,2022-06-22 18:52:51.760,1.7888,33.2175,-97.1418
Poughkeepsie,2022-06-22 18:52:32.870,7.2864,41.6950,-73.9211
Oakland,2022-06-22 18:52:52.667,9.3344,37.7904,-122.2166
Winston-Salem,2022-06-22 18:52:47.693,2.288,36.1029,-80.2610
Syracuse,2022-06-22 18:52:32.747,7.0272,43.0407,-76.1437
Boise,2022-06-22 18:52:59.513,3.3504,43.6005,-116.2308
Chattanooga,2022-06-22 18:52:46.940,1.5712,35.0660,-85.2481
Augusta,2022-06-22 18:53:01.833,0.8064,33.3645,-82.0708
Arlington,2022-06-22 18:52:51.793,5.12,32.6998,-97.1250
Stockton,2022-06-22 18:52:53.887,6.176,37.9765,-121.3109
Oxnard,2022-06-22 18:52:52.843,9.6736,34.1964,-119.1815
