result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-26T22:30:00Z,18.15,value,Drucker_gestern
,,0,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-27T22:30:00Z,0,value,Drucker_gestern
,,0,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-28T22:30:00Z,0,value,Drucker_gestern
,,0,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-29T11:00:00Z,0,value,Drucker_gestern
,,0,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-29T22:30:00Z,0,value,Drucker_gestern
,,0,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-30T21:00:00Z,0,value,Drucker_gestern
,,0,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-30T22:30:00Z,19.13,value,Drucker_gestern
,,0,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-31T22:30:00Z,0,value,Drucker_gestern
,,0,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-08-01T07:00:00Z,0,value,Drucker_gestern
,,1,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-26T22:30:00Z,894.4,value,FeFo_TV_gestern
,,1,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-27T22:30:00Z,664.41,value,FeFo_TV_gestern
,,1,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-28T22:30:00Z,783.93,value,FeFo_TV_gestern
,,1,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-29T11:00:00Z,783.93,value,FeFo_TV_gestern
,,1,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-29T22:30:00Z,543.48,value,FeFo_TV_gestern
,,1,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-30T21:00:00Z,543.48,value,FeFo_TV_gestern
,,1,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-30T22:30:00Z,409.65,value,FeFo_TV_gestern
,,1,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-31T22:30:00Z,953.22,value,FeFo_TV_gestern
,,1,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-08-01T07:00:00Z,953.22,value,FeFo_TV_gestern
,,1,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-08-01T22:30:00Z,606.02,value,FeFo_TV_gestern
,,2,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-26T22:30:00Z,413.7,value,Imac_gestern
,,2,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-27T22:30:00Z,302.4,value,Imac_gestern
,,2,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-28T22:30:00Z,612.64,value,Imac_gestern
,,2,2022-07-26T19:48:12.136000766Z,2022-08-02T19:48:12.136000766Z,2022-07-29T11:00:00Z,612.64,value,Imac_gestern
