sensorname,timeline,humidity,lat,lng,state_name
New York,2022-06-01 21:36:33.977,34.4576,40.6943,-73.9249,New York
Los Angeles,2022-06-01 19:54:05.283,10.4544,34.1141,-118.4068,California
Chicago,2022-06-01 18:48:20.837,14.6432,41.8375,-87.6866,Illinois
Miami,2022-06-01 18:06:30.267,15.824,25.7840,-80.2101,Florida
Dallas,2022-06-01 18:03:44.620,4.8704,32.7935,-96.7667,Texas
Allentown,2022-06-01 16:36:42.607,8.5248,40.5961,-75.4756,Pennsylvania
Concord,2022-06-01 16:36:21.200,5.2256,37.9722,-122.0016,California
Cape Coral,2022-06-01 16:36:03.290,2.208,26.6443,-81.9957,Florida
Houston,2022-06-01 18:00:38.367,4.4608,29.7860,-95.3885,Texas
Philadelphia,2022-06-01 17:57:34.150,14.5408,40.0077,-75.1339,Pennsylvania
Atlanta,2022-06-01 17:51:05.447,4.5408,33.7628,-84.4220,Georgia
Washington,2022-06-01 17:49:40.923,14.1888,38.9047,-77.0163,District of Columbia
Boston,2022-06-01 17:39:39.917,17.616,42.3188,-71.0852,Massachusetts
Phoenix,2022-06-01 17:35:01.673,3.9552,33.5722,-112.0892,Arizona
Detroit,2022-06-01 17:27:25.437,5.9872,42.3834,-83.1024,Michigan
San Francisco,2022-06-01 17:24:31.933,23.0368,37.7558,-122.4449,California
Seattle,2022-06-01 17:24:04.703,10.9248,47.6211,-122.3244,Washington
Durham,2022-06-01 16:31:45.320,3.024,35.9792,-78.9022,North Carolina
Palm Coast,2022-06-01 16:31:40.367,1.1424,29.5389,-81.2457,Florida
San Diego,2022-06-01 17:18:12.447,5.36,32.8313,-117.1222,California
Minneapolis,2022-06-01 17:13:19.563,9.712,44.9635,-93.2678,Minnesota
Tampa,2022-06-01 17:11:25.650,4.288,27.9945,-82.4447,Florida
Brooklyn,2022-06-01 17:10:50.023,48.64,40.6501,-73.9496,New York
Denver,2022-06-01 17:10:23.347,5.776,39.7620,-104.8758,Colorado
Queens,2022-06-01 17:05:19.413,27.2096,40.7498,-73.7976,New York
Baltimore,2022-06-01 17:03:04.037,9.1904,39.3051,-76.6144,Maryland
Las Vegas,2022-06-01 17:01:19.357,5.6128,36.2333,-115.2654,Nevada
St. Louis,2022-06-01 17:00:58.267,6.096,38.6359,-90.2451,Missouri
Riverside,2022-06-01 17:00:26.190,4.9792,33.9381,-117.3949,California
Portland,2022-06-01 16:59:46.503,6.0192,45.5371,-122.6500,Oregon
San Antonio,2022-06-01 16:59:10.273,3.7856,29.4632,-98.5238,Texas
Sacramento,2022-06-01 16:56:36.307,6.3072,38.5677,-121.4685,California
San Juan,2022-06-01 16:56:08.500,9.5424,18.3985,-66.0610,Puerto Rico
San Jose,2022-06-01 16:55:11.117,7.1328,37.3012,-121.8480,California
Orlando,2022-06-01 16:55:05.997,3.1808,28.4773,-81.3370,Florida
Cleveland,2022-06-01 16:54:16.387,6.0896,41.4764,-81.6805,Ohio
Pittsburgh,2022-06-01 16:53:53.240,6.72,40.4397,-79.9763,Pennsylvania
Manhattan,2022-06-01 16:53:28.213,91.6896,40.7834,-73.9662,New York
Austin,2022-06-01 16:53:19.473,3.728,30.3005,-97.7522,Texas
Cincinnati,2022-06-01 16:53:18.750,4.8032,39.1413,-84.5060,Ohio
Indianapolis,2022-06-01 16:52:30.713,2.9696,39.7771,-86.1458,Indiana
Kansas City,2022-06-01 16:51:55.957,1.9264,39.1238,-94.5541,Missouri
Columbus,2022-06-01 16:51:01.813,4.992,39.9862,-82.9855,Ohio
Charlotte,2022-06-01 16:50:40.417,3.5008,35.2083,-80.8303,North Carolina
Virginia Beach,2022-06-01 16:49:49.473,2.2752,36.7335,-76.0435,Virginia
Bronx,2022-06-01 16:49:46.603,42.7392,40.8501,-73.8662,New York
